  Time[s]              u[ft/s]            v[ft/s]                w[ft/s]              p[rad/s]             q[rad/s]             r[rad/s]             x[ft]                y[ft]                z[ft]                e0                   ex                   ey                   ez
  0.000000000000e+00   2.107781374672e+02   0.000000000000e+00   6.302838063805e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00  -5.000000000000e+02   9.894651188983e-01   0.000000000000e+00   1.447714698538e-01   0.000000000000e+00
  1.000000000000e-01   2.108060215140e+02   9.303288653773e-06   6.283540659656e+01  -1.892823949562e-07  -1.097042711350e-02  -1.388756789578e-06   2.199851896236e+01  -2.450900317062e-09  -5.000038081565e+02   9.895050448270e-01  -6.268948865772e-09   1.444983279480e-01  -2.262603487738e-08
  2.000000000000e-01   2.109004344982e+02   7.199359843266e-05   6.244981441069e+01  -9.503839132070e-07  -2.153441834901e-02  -5.418548623617e-06   4.399460778126e+01  -6.984517202105e-08  -5.000131789751e+02   9.896223718040e-01  -5.449655598909e-08   1.436925961647e-01  -1.769130456680e-07
  3.000000000000e-01   2.110597670721e+02   2.346650400622e-04   6.188900108425e+01  -2.615103335214e-06  -3.173240946540e-02  -1.186750727507e-05   6.598941074001e+01  -4.411523657980e-07  -5.000243605615e+02   9.898130516220e-01  -1.991533845972e-07   1.423731863683e-01  -5.828816540923e-07
  4.000000000000e-01   2.112822368337e+02   5.361264637215e-04   6.116842252772e+01  -5.544811742333e-06  -4.160164407715e-02  -2.049615585989e-05   8.798449924327e+01  -1.648582379949e-06  -5.000327799021e+02   9.900725906040e-01  -5.100736680745e-07   1.405569885512e-01  -1.346746297355e-06
  5.000000000000e-01   2.115659565791e+02   1.007316585951e-03   6.030176516102e+01  -1.010365988466e-05  -5.117646161178e-02  -3.105400182423e-05   1.099818309784e+02  -4.623424856083e-06  -5.000331217231e+02   9.903961028724e-01  -1.073069540465e-06   1.382590373184e-01  -2.560230118764e-06
  6.000000000000e-01   2.119089843264e+02   1.671525564641e-03   5.930110605096e+01  -1.663736032565e-05  -6.048856518471e-02  -4.328599288576e-05   1.319837087865e+02  -1.079229049001e-05  -5.000193971938e+02   9.907783507478e-01  -1.989445718754e-06   1.354926636958e-01  -4.300411520537e-06
  7.000000000000e-01   2.123093586937e+02   2.544865389716e-03   5.817706121702e+01  -2.545722213900e-05  -6.956726980745e-02  -5.693852639808e-05   1.539927396746e+02  -2.216238760238e-05  -4.999850031528e+02   9.912137743745e-01  -3.374676555450e-06   1.322696333434e-01  -6.630036703848e-06
  8.000000000000e-01   2.127651225612e+02   3.636928992247e-03   5.693892211376e+01  -3.682898819802e-05  -7.843973153809e-02  -7.176479131693e-05   1.760117942459e+02  -4.139441333923e-05  -4.999227725668e+02   9.916965123039e-01  -5.356483860866e-06   1.286002722558e-01  -9.598219820061e-06
  9.000000000000e-01   2.132743373971e+02   4.951580007072e-03   5.559478057693e+01  -5.096593532899e-05  -8.713115833762e-02  -8.752930134062e-05   1.980439666994e+02  -7.186166380146e-05  -4.998250169368e+02   9.922204144596e-01  -8.072526590094e-06   1.244935810154e-01  -1.324144672762e-05
  1.000000000000e+00   2.138350901637e+02   6.487820186954e-03   5.415164272020e+01  -6.802564545655e-05  -9.566500350971e-02  -1.040115458502e-04   2.200925354441e+02  -1.176940522906e-04  -4.996835613565e+02   9.927790486450e-01  -1.166788409981e-05   1.199573386307e-01  -1.758479842765e-05
  1.100000000000e+00   2.144454943376e+02   8.240688355897e-03   5.261553240571e+01  -8.810983764137e-05  -1.040631426752e-01  -1.210087411890e-04   2.421609242955e+02  -1.838058501305e-04  -4.994897729057e+02   9.933657015439e-01  -1.629248474175e-05   1.149981969502e-01  -2.264331467773e-05
  1.200000000000e+00   2.151036862568e+02   1.020215255992e-02   5.099158499797e+01  -1.112666610584e-04  -1.123460352705e-01  -1.383377087281e-04   2.642526641508e+02  -2.759061117389e-04  -4.992345830292e+02   9.939733749828e-01  -2.209860235503e-05   1.096217665982e-01  -2.842342579033e-05
  1.300000000000e+00   2.158078177504e+02   1.236196501696e-02   4.928413215804e+01  -1.374948812444e-04  -1.205328715660e-01  -1.558359388435e-04   2.863713549919e+02  -4.004908985429e-04  -4.989085045224e+02   9.945947780733e-01  -2.923851573944e-05   1.038326953293e-01  -3.492439009127e-05
  1.400000000000e+00   2.165560457938e+02   1.470845708213e-02   4.749677845396e+01  -1.667494401667e-04  -1.286417061827e-01  -1.733619225731e-04   3.085206280187e+02  -5.648165614527e-04  -4.985016437049e+02   9.952223157337e-01  -3.786240113997e-05   9.763473965024e-02  -4.213968500580e-05
  1.500000000000e+00   2.173465197600e+02   1.722925840157e-02   4.563247056128e+01  -1.989479291774e-04  -1.366895790464e-01  -1.907948467344e-04   3.307041076850e+02  -7.768534683632e-04  -4.980037083330e+02   9.958480739832e-01  -4.811650558972e-05   9.103083051180e-02  -5.005831050064e-05
  1.600000000000e+00   2.181773667048e+02   1.991193053631e-02   4.369355981082e+01  -2.339775778649e-04  -1.446926246678e-01  -2.080337551490e-04   3.529253733833e+02  -1.045219663795e-03  -4.974040117687e+02   9.964638023233e-01  -6.014162986090e-05   8.402313382837e-02  -5.866597406604e-05
  1.700000000000e+00   2.190466750082e+02   2.274451051205e-02   4.168185881494e+01  -2.717024272389e-04  -1.526661705700e-01  -2.249962797765e-04   3.751879205012e+02  -1.379094017212e-03  -4.966914738969e+02   9.970608934481e-01  -7.407193379910e-05   7.661310654590e-02  -6.794613616264e-05
  1.800000000000e+00   2.199524766145e+02   2.571596398397e-02   3.959869287126e+01  -3.119704195412e-04  -1.606248256166e-01  -2.416170423522e-04   3.974951205588e+02  -1.788108451940e-03  -4.958546192578e+02   9.976303604767e-01  -9.003406386268e-05   6.880154894224e-02  -7.788090381232e-05
  1.900000000000e+00   2.208927280426e+02   2.881655104369e-02   3.744494680824e+01  -3.546201970496e-04  -1.685825589124e-01  -2.578458207334e-04   4.198501801206e+02  -2.282218847175e-03  -4.948815728482e+02   9.981628118512e-01  -1.081465925580e-04   6.058865381507e-02  -8.845176763029e-05
  2.000000000000e+00   2.218652902879e+02   3.203811021889e-02   3.522110790165e+01  -3.994874570533e-04  -1.765527698746e-01  -2.736455656136e-04   4.422560981674e+02  -2.871554172044e-03  -4.937600540306e+02   9.986484240171e-01  -1.285197518892e-04   5.197405318834e-02  -9.964018401849e-05
  2.100000000000e+00   2.228679077002e+02   3.537426802572e-02   3.292730545601e+01  -4.464107588636e-04  -1.845483499870e-01  -2.889903434139e-04   4.647156216051e+02  -3.566243345311e-03  -4.924773689904e+02   9.990769119713e-01  -1.512554376275e-04   4.295686314918e-02  -1.114280094820e-04
  2.200000000000e+00   2.238981858926e+02   3.882058263753e-02   3.056334761239e+01  -4.952367209147e-04  -1.925817366716e-01  -3.038632706789e-04   4.872311985813e+02  -4.376219220291e-03  -4.910204021792e+02   9.994374977530e-01  -1.764474578411e-04   3.353572741378e-02  -1.237977981572e-04
  2.300000000000e+00   2.249535687213e+02   4.237463093994e-02   2.812875591368e+01  -5.458245817072e-04  -2.006649596303e-01  -3.182544947339e-04   5.098049292802e+02  -5.310998975974e-03  -4.893756071980e+02   9.997188769379e-01  -2.041819973927e-04   2.370886021249e-02  -1.367329767551e-04
  2.400000000000e+00   2.260313143645e+02   4.603604855545e-02   2.562279813071e+01  -5.980501278446e-04  -2.088096799339e-01  -3.321592650785e-04   5.324385138661e+02  -6.379440057146e-03  -4.875289975886e+02   9.999091831968e-01  -2.345382697331e-04   1.347408908166e-02  -1.502179133464e-04
  2.500000000000e+00   2.271284705285e+02   4.980653243457e-02   2.304451982809e+01  -6.518090161920e-04  -2.170272220546e-01  -3.455761302956e-04   5.551331972477e+02  -7.589470653904e-03  -4.854661380304e+02   9.999959509844e-01  -2.675893279989e-04   2.828898151047e-03  -1.642378978891e-04
