  Time[s]              udot                vdot                 wdot                  pdot               qdot                 rdot                 xdot                  ydot                 zdot                   e0dot                exdot               eydot              ezdot
  5.000000000000e-01  -1.338682723871e+00  -1.413118189071e+01   7.579808075045e+00  -3.689503319731e-01   3.415238329715e-02  -5.462039418416e-02   2.208823630808e+02   2.999647617646e+00   2.555961223168e+00  -1.056133953167e-02  -1.687527925153e-01   1.018413089056e-02   1.180440675317e-02
  5.000000000000e-01  -1.334172765948e+00  -1.397132260981e+01   7.548303176006e+00  -3.702820745468e-01   3.424167399451e-02  -5.537466740032e-02   2.208481894426e+02   2.970657603023e+00   2.534218727350e+00  -1.058890258667e-02  -1.677287959936e-01   1.014610615136e-02   1.156620889160e-02
  5.000000000000e-01  -1.427336338402e+00  -1.520790878359e+01   7.307708031656e+00  -3.305340443127e-01   3.331453816108e-02  -5.927251897589e-02   2.209206667056e+02   3.164937529159e+00   2.683053587732e+00  -1.267856908556e-02  -1.770350868038e-01   1.065033231164e-02   1.153632554357e-02

  6.000000000000e-01  -1.427223498470e+00  -1.521266521269e+01   7.305100962407e+00  -3.304246343398e-01   3.330238338080e-02  -5.933231435715e-02   2.209212198865e+02   3.165472354625e+00   2.683573642234e+00  -1.268347612432e-02  -1.770132761434e-01   1.064890242337e-02   1.154730155553e-02
  6.000000000000e-01  -1.512995986214e+00  -1.630235451469e+01   7.002404341285e+00  -2.919827656623e-01   3.254071732928e-02  -6.395184344601e-02   2.209939719577e+02   3.341237271474e+00   2.819282165200e+00  -1.494720064715e-02  -1.852903560632e-01   1.108097983483e-02   1.127951133047e-02
  6.000000000000e-01  -1.508871911647e+00  -1.613196588241e+01   6.982367132398e+00  -2.935603981121e-01   3.265980250694e-02  -6.454186850177e-02   2.209519186067e+02   3.308704834569e+00   2.794865213921e+00  -1.495315893520e-02  -1.843397488900e-01   1.105333438815e-02   1.102068015190e-02
  6.000000000000e-01  -1.587508393905e+00  -1.705539623096e+01   6.638534029263e+00  -2.569705525638e-01   3.211811382751e-02  -6.953495039859e-02   2.210197528645e+02   3.461835149462e+00   2.915320239041e+00  -1.734642295329e-02  -1.917397172725e-01   1.142841599751e-02   1.047283988625e-02

  7.000000000000e-01  -1.587290158784e+00  -1.705802482369e+01   6.635629571499e+00  -2.568689815181e-01   3.210852923738e-02  -6.959808112638e-02   2.210202857312e+02   3.462220131972e+00   2.915803278938e+00  -1.735057049925e-02  -1.917140503175e-01   1.142614897914e-02   1.048036691781e-02
