  Time[s]              udot                vdot                 wdot                  pdot               qdot                 rdot                 xdot                  ydot                 zdot                   e0dot                exdot               eydot              ezdot
  0.000000000000e+00  -2.131628207280e-14  -2.842170943040e-14   3.564509798437e-14  -2.735532387647e-17   3.322672699204e-17  -4.257199373485e-19   2.017284158907e+02  -8.778181031528e+01  -4.609645998244e-13   7.238206628593e-03  -1.253694163641e-02   5.545563047229e-02   9.605196954378e-02
  0.000000000000e+00  -2.582803030684e-04   8.422560782400e-04   4.862767735503e-04  -2.866164258833e-17   3.322672699204e-17  -1.305790169688e-17   2.027039636726e+02  -8.552269166938e+01  -4.476419235289e-13   6.701026288379e-03  -1.284708285043e-02   5.538551636005e-02   9.609244994535e-02
  0.000000000000e+00   2.620130726960e-04  -8.512805709238e-04  -5.012838705633e-04  -9.820504414992e-07  -9.144147487192e-08   4.047104050096e-07   2.026913141658e+02  -8.551727119226e+01   5.031167264313e-05   6.700799897645e-03  -1.284669073018e-02   5.538378186399e-02   9.608944571005e-02
  0.000000000000e+00  -6.540636974250e-06   4.040142975725e-07   2.945352977150e-05   2.184620548689e-06   1.801554053310e-07  -8.091013392539e-07   2.036414725336e+02  -8.324752322765e+01  -1.022028812043e-04   6.163452704190e-03  -1.315646049430e-02   5.531192641139e-02   9.612694024941e-02

  1.000000000000e-01  -6.870529034586e-09   4.161048039464e-07   2.437665183597e-08   2.157393804108e-09   4.680864340878e-10  -3.541564111708e-09   2.036414927980e+02  -8.324747692609e+01   1.282620321064e-08   6.163414646996e-03  -1.315642537511e-02   5.531193616027e-02   9.612691998117e-02
  1.000000000000e-01  -2.582878932671e-04   8.427154917676e-04   4.863007110109e-04   1.212341652914e-09   4.723228421612e-10  -3.319413761902e-09   2.045662633094e+02  -8.096710195026e+01   1.302643948264e-08   5.625815109319e-03  -1.346576292507e-02   5.523835756597e-02   9.616138942787e-02
  1.000000000000e-01   2.620054474640e-04  -8.508285556346e-04  -5.012598645147e-04  -9.808085363156e-07  -9.097487118282e-08   4.014182921512e-07   2.045534957197e+02  -8.096196578024e+01   5.032446368514e-05   5.625622347011e-03  -1.346535144821e-02   5.523662756268e-02   9.615838285619e-02
  1.000000000000e-01  -6.548941961171e-06   8.918124407842e-07   2.947713550572e-05   2.184965564856e-06   1.806209768462e-07  -8.121523466686e-07   2.054526454074e+02  -7.867153206916e+01  -1.021897899287e-04   5.087889375353e-03  -1.377429811306e-02   5.516131188941e-02   9.618986476957e-02

  2.000000000000e-01  -1.517856063060e-08   9.040054322895e-07   4.799129752625e-08   2.495608690135e-09   9.335475157571e-10  -6.589836875187e-09   2.054526646310e+02  -7.867148532590e+01   2.593117809369e-08   5.087851547398e-03  -1.377426310542e-02   5.516132203078e-02   9.618984407661e-02
  2.000000000000e-01  -2.582968497471e-04   8.432318941409e-04   4.863239887494e-04   6.819898449468e-10   9.311106070976e-10  -6.099339658119e-09   2.063261951040e+02  -7.637099515161e+01   2.656885245145e-08   4.549900095386e-03  -1.408275832929e-02   5.508428815636e-02   9.621829827171e-02
  2.000000000000e-01   2.619964638484e-04  -8.503195075846e-04  -5.012365392016e-04  -9.812925990035e-07  -9.052123350223e-08   3.986572481393e-07   2.063133158203e+02  -7.636614585893e+01   5.033774026986e-05   4.549740984507e-03  -1.408232754560e-02   5.508256286113e-02   9.621528974056e-02
  2.000000000000e-01  -6.558525459610e-06   1.422219906289e-06   2.950013710940e-05   2.183674053485e-06   1.810634406319e-07  -8.146345872396e-07   2.071610068808e+02  -7.405617256642e+01  -1.021760081032e-04   4.011689532730e-03  -1.439041249563e-02   5.500379638512e-02   9.624075510557e-02

  3.000000000000e-01  -2.476469518342e-08   1.434395311861e-06   7.100197414039e-08   1.198497465128e-09   1.375826557231e-09  -9.069249329371e-09   2.071610250540e+02  -7.405612540484e+01   3.972735562741e-08   4.011651938911e-03  -1.439037760418e-02   5.500380691765e-02   9.624073399064e-02
  3.000000000000e-01  -2.583069959599e-04   8.437763917364e-04   4.863467138311e-04  -1.377615614363e-09   1.357127182482e-09  -8.280995918549e-09   2.079828783615e+02  -7.173667122956e+01   4.096974137724e-08   3.473415896715e-03  -1.469799194120e-02   5.492332739449e-02   9.626316939158e-02
  3.000000000000e-01   2.619862996482e-04  -8.497820041313e-04  -5.012137867701e-04  -9.832930933018e-07  -9.009962327014e-08   3.964861685087e-07   2.079698938289e+02  -7.173211124088e+01   5.035185921720e-05   3.473290455665e-03  -1.469754190228e-02   5.492160702231e-02   9.626015927766e-02
  3.000000000000e-01  -6.569194795247e-06   1.967341319187e-06   2.952259484002e-05   2.180981009507e-06   1.814651787426e-07  -8.165054616025e-07   2.087657020657e+02  -6.940375430990e+01  -1.021612484693e-04   2.934987858405e-03  -1.500472662516e-02   5.483939959071e-02   9.627960492576e-02

  4.000000000000e-01  -3.543609849999e-08   1.979393260854e-06   9.346818832801e-08  -1.498835071357e-09   1.777322320246e-09  -1.093733620482e-08   2.087657191794e+02  -6.940370675361e+01   5.450120488248e-08   2.934950503552e-03  -1.500469185445e-02   5.483941051299e-02   9.627958339165e-02
  4.000000000000e-01  -2.583181258231e-04   8.443220988426e-04   4.863688998375e-04  -4.709746152737e-09   1.734389256859e-09  -9.838117362053e-09   2.095354840544e+02  -6.706644926468e+01   5.644552469874e-08   2.396497227236e-03  -1.531138684882e-02   5.475549540135e-02   9.629599720947e-02
  4.000000000000e-01   2.619751615427e-04  -8.492426658826e-04  -5.011915918947e-04  -9.865573157658e-07  -8.972590208430e-08   3.949317825987e-07   2.095224007705e+02  -6.706218086191e+01   5.036705010530e-05   2.396405469933e-03  -1.531091760824e-02   5.475378016684e-02   9.629298588924e-02
  4.000000000000e-01  -6.580732208050e-06   2.501761990459e-06   2.954448137592e-05   2.177156709378e-06   1.818120169136e-07  -8.177536545199e-07   2.102659279498e+02  -6.471660543491e+01  -1.021453496215e-04   1.857919089393e-03  -1.561716369873e-02   5.466814205542e-02   9.630640940519e-02

  5.000000000000e-01  -4.697493238837e-08   2.513601845777e-06   1.153623971073e-07  -5.326072351128e-09   2.123877733177e-09  -1.218289955569e-08   2.102659439955e+02  -6.471655750769e+01   7.041355032378e-08   1.857881978268e-03  -1.561712905326e-02   5.466815336602e-02   9.630638745474e-02
  5.000000000000e-01  -2.583300123007e-04   8.448450873537e-04   4.863904793551e-04  -9.030475664610e-09   2.050548340436e-09  -1.077447654489e-08   2.109832352369e+02  -6.236266630155e+01   7.309011174073e-08   1.319278846952e-03  -1.592286635825e-02   5.458081315444e-02   9.631677765357e-02
