  Time[s]              udot                vdot                 wdot                  pdot               qdot                 rdot                 xdot                  ydot                 zdot                   e0dot                exdot               eydot              ezdot
  0.000000000000e+00   2.646771690706e-13   0.000000000000e+00   9.592326932761e-14   0.000000000000e+00   6.518039931006e-17   0.000000000000e+00   2.200000000000e+02   0.000000000000e+00  -1.421085471520e-14  -0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  0.000000000000e+00   2.644604171353e-13   0.000000000000e+00   9.660670565786e-14   8.559490712446e-22   6.518039931006e-17   8.277079817250e-21   2.200000000000e+02   0.000000000000e+00  -1.421085471520e-14  -2.492418098425e-19   0.000000000000e+00   1.610335773717e-18   0.000000000000e+00
  0.000000000000e+00   2.644604171353e-13  -8.308950634918e-20   9.660670565786e-14   1.234533791989e-21   6.518039812368e-17   8.169023298246e-21   2.200000000000e+02   0.000000000000e+00  -1.421085471520e-14  -2.492418098425e-19   5.279746365770e-23   1.610335773717e-18   2.012190716045e-22
  0.000000000000e+00   2.660200220473e-13  -1.595297581216e-19   6.886843253282e-14   2.610224824990e-21  -6.518040165185e-17   1.626291423345e-20   2.200000000000e+02   8.518087645721e-23  -7.105427357601e-15  -4.984836106119e-19   1.234750361519e-22   3.220671488813e-18   3.942035689519e-22

  1.000000000000e-01   2.661645233348e-13  -1.613296122525e-19   6.841280832106e-14   1.985240695065e-21  -6.518040165858e-17   1.077112209220e-20   2.200000000000e+02   8.787625582070e-23  -7.105427357601e-15  -3.323224071141e-19   1.185817031100e-22   2.147114326131e-18   3.961497686482e-22
  1.000000000000e-01   2.663812752780e-13  -2.646705890424e-19   6.772937196619e-14   1.760684677998e-21  -6.518040320244e-17   2.277461613686e-21   2.200000000000e+02   2.351101411839e-22  -7.105427357601e-15  -8.308058829110e-20   2.088161621997e-22   5.367784943913e-19   6.546679493084e-22
  1.000000000000e-01   2.663812752831e-13  -1.759753084287e-19   6.772937195000e-14   1.454468661287e-21  -6.518040198502e-17   2.339447371038e-21   2.200000000000e+02   3.848984689762e-22  -7.105427357601e-15  -8.308058238757e-20   1.707896093775e-22   5.367784562490e-19   4.456837038228e-22
  1.000000000000e-01   2.665980272233e-13  -1.958355080850e-19   8.125679031967e-14   7.538742674989e-22   3.259019663587e-17  -6.011148618683e-21   2.200000000000e+02   7.202613659615e-22  -1.421085471520e-14   1.661612330284e-19   2.083409265813e-22  -1.073557353478e-18   5.006223225709e-22

  2.000000000000e-01   2.664896512583e-13  -1.945672690870e-19   8.159850847623e-14   1.245929412984e-21   3.259019663792e-17  -1.900634692521e-21   2.200000000000e+02   6.761805847885e-22  -1.421085471520e-14   4.154033123327e-20   2.119312672531e-22  -2.683894868171e-19   4.997049270488e-22
  2.000000000000e-01   2.663812753007e-13  -1.681813744671e-19   8.194022660971e-14   1.727292331495e-21   3.259019691034e-17   2.170126279433e-21   2.200000000000e+02   1.098815347611e-21  -1.421085471520e-14  -8.308056215091e-20   2.354451930785e-22   5.367783255012e-19   4.479838916510e-22
  2.000000000000e-01   2.663812752998e-13  -2.090088898630e-19   8.194022661257e-14   1.876805825838e-21   3.259019632687e-17   2.128901114409e-21   2.200000000000e+02   1.214511736523e-21  -1.421085471520e-14  -8.308056319263e-20   2.629037508481e-22   5.367783322317e-19   5.467147420677e-22
  2.000000000000e-01   2.662728993451e-13  -2.206637684302e-19   8.228194473668e-14   2.583331476084e-21   3.259019602763e-17   6.121397558745e-21   2.200000000000e+02   1.778334968137e-21  -1.421085471520e-14  -2.077014531563e-19   3.209486640782e-22   1.341946122450e-18   5.905441110311e-22

  3.000000000000e-01   2.662728993438e-13  -2.213809606010e-19   8.228194474080e-14   2.554579270212e-21   3.259019602546e-17   6.134264016762e-21   2.200000000000e+02   1.785301546488e-21  -1.421085471520e-14  -2.077014546587e-19   3.191669685790e-22   1.341946132157e-18   5.912028058831e-22
  3.000000000000e-01   2.661645233883e-13  -2.734571825446e-19   8.262366286786e-14   3.403557167860e-21   3.259019514622e-17   1.008667430671e-20   2.200000000000e+02   2.495669569096e-21  -1.421085471520e-14  -3.323223457010e-19   4.057366353951e-22   2.147113929345e-18   7.329864851601e-22
  3.000000000000e-01   2.661645233912e-13  -3.108984455457e-19   8.262366285864e-14   3.618159004212e-21   3.259019457971e-17   1.001015860376e-20   2.200000000000e+02   2.683087833930e-21  -1.421085471520e-14  -3.323223423389e-19   4.418248674170e-22   2.147113907622e-18   8.273876695609e-22
  3.000000000000e-01   2.660561474423e-13  -3.964665479607e-19   5.454367153421e-14   4.736336685359e-21  -6.499142685054e-24   1.385269018729e-20   2.200000000000e+02   3.698649878446e-21  -7.105427357601e-15  -4.569432256864e-19   5.745014254027e-22   2.952281655095e-18   1.058150543632e-21

  4.000000000000e-01   2.660922727636e-13  -3.976077948079e-19   5.442976548320e-14   4.572014360622e-21  -6.504860170629e-24   1.248499696717e-20   2.200000000000e+02   3.674683308397e-21  -7.105427357601e-15  -4.154029255182e-19   5.715689761911e-22   2.683892368986e-18   1.059613528013e-21
  4.000000000000e-01   2.660922727852e-13  -5.064375880539e-19   5.442976541500e-14   5.406852131659e-21  -8.294374911327e-24   1.213196035794e-20   2.200000000000e+02   4.908151980015e-21  -7.105427357601e-15  -4.154029006444e-19   7.322654682915e-22   2.683892208278e-18   1.350582904051e-21
  4.000000000000e-01   2.660922727911e-13  -4.984521146760e-19   5.442976539623e-14   5.464745403394e-21  -8.243773039506e-24   1.208461794718e-20   2.200000000000e+02   5.251919564717e-21  -7.105427357601e-15  -4.154028938015e-19   7.515408587130e-22   2.683892164067e-18   1.338668525396e-21
