  Time[s]              u[ft/s]            v[ft/s]                w[ft/s]              p[rad/s]             q[rad/s]             r[rad/s]             x[ft]                y[ft]                z[ft]                e0                   ex                   ey                   ez                  gamma[deg]
  1.200000000000e+00   2.198720302889e+02   1.707380801092e-10   1.102347570238e-02  -8.343268796698e-13  -4.537658889243e-09  -3.198800804161e-12   1.322933288001e-02  -2.092653162812e-12  -5.037948743820e+03   7.071067816998e-01  -3.540263843524e-13   7.071067806733e-01  -2.319352885914e-13   8.999712722231e+01
  1.300000000000e+00   2.198498802994e+02   2.456859289752e-10   1.102314698214e-02  -1.234920628853e-12  -5.616890526540e-09  -4.232559911613e-12   1.433170173733e-02  -3.538620179416e-12  -5.059934853991e+03   7.071067818789e-01  -5.210432479738e-13   7.071067804942e-01  -3.265391992349e-13   8.999712700994e+01
  1.400000000000e+00   2.198259744790e+02   3.428758693207e-10   1.102276395980e-02  -1.777111106151e-12  -6.828820479569e-09  -5.462085104275e-12   1.543404740670e-02  -5.746192898250e-12  -5.081918661352e+03   7.071067820985e-01  -7.446101892809e-13   7.071067802746e-01  -4.445452008082e-13   8.999712678947e+01
  1.500000000000e+00   2.198003152639e+02   4.659977648286e-10   1.102232304062e-02  -2.494103170483e-12  -8.174382792019e-09  -6.897345616142e-12   1.653636693773e-02  -9.009702018498e-12  -5.103899990441e+03   7.071067823633e-01  -1.037415519204e-12   7.071067800098e-01  -5.874773139482e-13   8.999712656191e+01
  1.600000000000e+00   2.197729050984e+02   6.188133206721e-10   1.102182081632e-02  -3.422731253418e-12  -9.653630388444e-09  -8.545290207791e-12   1.763865732206e-02  -1.370071987181e-11  -5.125878666040e+03   7.071067826781e-01  -1.413686159083e-12   7.071067796950e-01  -7.559202993050e-13   8.999712632866e+01
  1.700000000000e+00   2.197437464346e+02   8.050854346139e-10   1.102125407421e-02  -4.603132081182e-12  -1.126582241576e-08  -1.040968309207e-11   1.874091551236e-02  -2.027926980014e-11  -5.147854513177e+03   7.071067830475e-01  -1.889200562147e-12   7.071067793256e-01  -9.492868717999e-13   8.999712608973e+01
  1.800000000000e+00   2.197128417325e+02   1.028506780816e-09   1.102061980392e-02  -6.078315132064e-12  -1.300950909086e-08  -1.249102119087e-11   1.984313844033e-02  -2.930512527203e-11  -5.169827357125e+03   7.071067834763e-01  -2.481283869897e-12   7.071067788968e-01  -1.165593965523e-12   8.999712584637e+01
  1.900000000000e+00   2.196801934598e+02   1.292629404254e-09   1.101991520208e-02  -7.893642005906e-12  -1.488261365242e-08  -1.478652996375e-11   2.094532303369e-02  -4.144900776562e-11  -5.191797023405e+03   7.071067839689e-01  -3.208784709104e-12   7.071067784041e-01  -1.401254305549e-12   8.999712559924e+01
  2.000000000000e+00   2.196458040917e+02   1.600796980613e-09   1.101913767494e-02  -1.009622808373e-11  -1.688251107581e-08  -1.729023366943e-11   2.204746623213e-02  -5.750349429021e-11  -5.213763337781e+03   7.071067845301e-01  -4.092033348344e-12   7.071067778430e-01  -1.650888984916e-12   8.999712534882e+01
  2.100000000000e+00   2.196096761112e+02   1.956081248017e-09   1.101828483915e-02  -1.273428153770e-11  -1.900610328016e-08  -1.999309470000e-11   2.314956500219e-02  -7.839345162714e-11  -5.235726126269e+03   7.071067851642e-01  -5.152781268833e-12   7.071067772089e-01  -1.907166072411e-12   8.999712424207e+01
  2.200000000000e+00   2.195718120089e+02   2.361223947100e-09   1.101735452100e-02  -1.585639592600e-11  -2.124989059344e-08  -2.288321557904e-11   2.425161635116e-02  -1.051858245724e-10  -5.257685215132e+03   7.071067858755e-01  -6.414122550459e-12   7.071067764976e-01  -2.160669513524e-12   8.999712363342e+01
  2.300000000000e+00   2.195322142826e+02   2.818585419334e-09   1.101634475410e-02  -1.951081329350e-11  -2.361003930899e-08  -2.594609634031e-11   2.535361733979e-02  -1.390986192307e-10  -5.279640430883e+03   7.071067866681e-01  -7.900397818797e-12   7.071067757050e-01  -2.399801756840e-12   8.999712337684e+01
  2.400000000000e+00   2.194908854377e+02   3.330100814591e-09   1.101525377577e-02  -2.374467492325e-11  -2.608244520526e-08  -2.916493932498e-11   2.645556509413e-02  -1.815089392645e-10  -5.301591600285e+03   7.071067875463e-01  -9.637081832400e-12   7.071067748268e-01  -2.610722664574e-12   8.999712284767e+01
  2.500000000000e+00   2.194478279867e+02   3.897244652313e-09   1.101408002229e-02  -2.860327667857e-11  -2.866279293735e-08  -3.252099293572e-11   2.755745681617e-02  -2.339599524398e-10  -5.323538550351e+03   7.071067885137e-01  -1.165065610250e-11   7.071067738594e-01  -2.777326371301e-12   8.999712258914e+01
  2.600000000000e+00   2.194030444496e+02   4.521004270499e-09   1.101282212312e-02  -3.412934527782e-11  -3.134661127342e-08  -3.599392558141e-11   2.865928979358e-02  -2.981666862914e-10  -5.345481108346e+03   7.071067895743e-01  -1.396846822159e-11   7.071067727988e-01  -2.881256860392e-12   8.999712190004e+01
  2.700000000000e+00   2.193565373534e+02   5.201862487567e-09   1.101147889425e-02  -4.036235089587e-11  -3.412932414448e-08  -3.956222092060e-11   2.976106140848e-02  -3.760205747215e-10  -5.367419101788e+03   7.071067907314e-01  -1.661857982668e-11   7.071067716417e-01  -2.901962153020e-12   8.999712164096e+01
  2.800000000000e+00   2.193083092323e+02   5.939789597610e-09   1.101004933083e-02  -4.733787023323e-11  -3.700629755340e-08  -4.320358556285e-11   3.086276914519e-02  -4.695927012969e-10  -5.389352358449e+03   7.071067919887e-01  -1.962960533197e-11   7.071067703844e-01  -2.816786167657e-12   8.999712119984e+01
  2.900000000000e+00   2.192583626274e+02   6.734244623548e-09   1.100853259918e-02  -5.508701268285e-11  -3.997288238734e-08  -4.689536060207e-11   3.196441059717e-02  -5.811357093928e-10  -5.411280706352e+03   7.071067933492e-01  -2.303054373040e-11   7.071067690239e-01  -2.601096524842e-12   8.999712061790e+01
  3.000000000000e+00   2.192067000870e+02   7.584185568346e-09   1.100692802833e-02  -6.363592050546e-11  -4.302445320891e-08  -5.061492872265e-11   3.306598347307e-02  -7.130843736319e-10  -5.433203973777e+03   7.071067948162e-01  -2.685060588128e-11   7.071067675569e-01  -2.228445856377e-12   8.999712021314e+01
  3.100000000000e+00   2.191533241662e+02   8.488088234667e-09   1.100523510117e-02  -7.300535204644e-11  -4.615644313892e-08  -5.434010912137e-11   3.416748560188e-02  -8.680548508035e-10  -5.455121989257e+03   7.071067963925e-01  -3.111903977072e-11   7.071067659806e-01  -1.670763541645e-12   8.999711968543e+01
