  Time[s]              u[ft/s]             v[ft/s]               w[ft/s]               p[rad/s]             q[rad/s]             r[rad/s]             x[ft]                y[ft]                z[ft]                phi[rad]             theta[rad]             psi[rad]
  7.000000000000e-02   2.079359507603e+02  -1.983452204141e+00   7.206808449439e-01   1.019257143494e+02  -7.381758963433e-03  -2.343831775882e-02   1.457874514383e+01   1.605885991063e-05  -6.196937088032e+00   5.060243586190e+00   8.668024271221e-02  -1.639614103098e-05
  7.500000000000e-02   2.077895592668e+02  -1.460188577913e+00   1.700778328399e+00   1.030725006937e+02  -2.035339189952e-02  -1.923313937880e-02   1.561510379916e+01   1.268066022409e-05  -6.276014384305e+00   5.572839904002e+00   8.654903832869e-02  -2.213528084365e-05
  8.000000000000e-02   2.076415675549e+02  -4.505794855832e-01   2.325911140608e+00   1.039996437915e+02  -3.068808506362e-02  -7.619066875656e-03   1.665079612813e+01   7.031701191729e-06  -6.354239474997e+00   6.090602735020e+00   8.640027307683e-02  -2.924312318406e-05
  8.500000000000e-02   2.074928047408e+02   8.100608938406e-01   2.357496327514e+00   1.047465970269e+02  -3.408837876986e-02   9.602805116849e-03   1.768581504430e+01  -1.262124432036e-06  -6.431612352507e+00   6.612535733449e+00   8.623304498967e-02  -3.790710562622e-05
  9.000000000000e-02   2.073452692387e+02   1.974156035003e+00   1.710859481957e+00   1.053458348431e+02  -2.755254981500e-02   2.813772668855e-02   1.872016106225e+01  -1.256434317430e-05  -6.508133648487e+00   7.137821741266e+00   8.604649350690e-02  -4.832100000254e-05
  9.500000000000e-02   2.072001024479e+02   2.680844139700e+00   5.031952539275e-01   1.058241306274e+02  -1.080075131984e-02   4.214743192707e-02   1.975384336124e+01  -2.722499310562e-05  -6.583804724138e+00   7.665791282555e+00   8.583980052659e-02  -6.068462397979e-05
  1.000000000000e-01   2.070560747319e+02   2.671121859090e+00  -9.605816222022e-01   1.062034178085e+02   1.299291897170e-02   4.599099609986e-02   2.078687103204e+01  -4.557883843800e-05  -6.658626913663e+00   8.195896344597e+00   8.561219195964e-02  -7.520214179050e-05
  1.050000000000e-01   2.069105237376e+02   1.881480837768e+00  -2.265626288033e+00   1.065014684195e+02   3.757696314572e-02   3.625837050856e-02   2.181924251842e+01  -6.794391609939e-05  -6.732600619463e+00   8.727687888644e+00   8.536293766051e-02  -9.208074370484e-05
  1.100000000000e-01   2.067621572948e+02   4.825654084910e-01  -3.008299344475e+00   1.067326458631e+02   5.517619059729e-02   1.340130813108e-02   2.285094523391e+01  -9.462037808680e-05  -6.805725287178e+00   9.260796870005e+00   8.509135278714e-02  -1.115308569825e-04
  1.150000000000e-01   2.066127753511e+02  -1.154542077248e+00  -2.924066979117e+00   1.069087544695e+02   5.886650702101e-02  -1.769865581505e-02   2.388196774407e+01  -1.258915801814e-04  -6.878000453954e+00   9.794919320972e+00   8.479679955637e-02  -1.337641325583e-04
  1.200000000000e-01   2.064657086566e+02  -2.558783394487e+00  -1.980753853261e+00   1.070397392391e+02   4.506029656390e-02  -4.860195474843e-02   2.491231260674e+01  -1.620259858134e-04  -6.949426841659e+00   1.032980543143e+01   8.447868612338e-02  -1.589921981842e-04
  1.250000000000e-01   2.063222710533e+02  -3.298266768261e+00  -4.045824008999e-01   1.071339927321e+02   1.524908487706e-02  -6.953951563896e-02   2.594199523273e+01  -2.032775003715e-04  -7.020006249975e+00   1.086525119237e+01   8.413646739707e-02  -1.874273083874e-04
  1.300000000000e-01   2.061800336304e+02  -3.115784086331e+00   1.373425242543e+00   1.071983368677e+02  -2.370429444581e-02  -7.242569513976e-02   2.697102809629e+01  -2.498845940866e-04  -7.089740212748e+00   1.140109065564e+01   8.376964638610e-02  -2.192798886835e-04
  1.350000000000e-01   2.060351360412e+02  -2.017435749680e+00   2.837983431276e+00   1.072380425927e+02  -6.102113359160e-02  -5.373802797779e-02   2.799940636217e+01  -3.020679144812e-04  -7.158628793945e+00   1.193718803367e+01   8.337777272690e-02  -2.547576134316e-04
  1.400000000000e-01   2.058864718935e+02  -2.841276193672e-01   3.542323378893e+00   1.072571815438e+02  -8.494824182029e-02  -1.628054615341e-02   2.902711135767e+01  -3.600296374916e-04  -7.226670895548e+00   1.247343068071e+01   8.296044447269e-02  -2.940664495993e-04
  1.450000000000e-01   2.057371996924e+02   1.601092121894e+00   3.246850103100e+00   1.072592031837e+02  -8.639183176606e-02   3.089131972698e-02   3.005412986915e+01  -4.239587679206e-04  -7.293865878840e+00   1.300972452797e+01   8.251730933824e-02  -3.374076306166e-04
  1.500000000000e-01   2.055916239765e+02   3.090635853213e+00   1.999993811634e+00   1.072473202280e+02  -6.212958610709e-02   7.457473457403e-02   3.108046916823e+01  -4.940368114549e-04  -7.360214804041e+00   1.354599209883e+01   8.204806184537e-02  -3.849771369973e-04
  1.550000000000e-01   2.054505470981e+02   3.734698789621e+00   1.341979895630e-01   1.072244258835e+02  -1.650873617423e-02   1.010921729294e-01   3.210615066251e+01  -5.704373786870e-04  -7.425719882768e+00   1.408217130137e+01   8.155244455661e-02  -4.369668927827e-04
  1.600000000000e-01   2.053101588649e+02   3.319195570271e+00  -1.824398018526e+00   1.071927361479e+02   3.907445527036e-02   1.005122486542e-01   3.313118755784e+01  -6.533201067413e-04  -7.490382631677e+00   1.461821295008e+01   8.103024861526e-02  -4.935612500204e-04
  1.650000000000e-01   2.051659451476e+02   1.936485036137e+00  -3.307388606266e+00   1.071536449836e+02   8.896812848757e-02   7.012488416805e-02   3.415557010791e+01  -7.428228749650e-04  -7.554202685165e+00   1.515407684393e+01   8.048131113497e-02  -5.549371987636e-04
  1.700000000000e-01   2.050175981296e+02  -3.428423976936e-02  -3.872115246956e+00   1.071080559643e+02   1.176637312449e-01   1.600032899771e-02   3.517927516809e+01  -8.390630954831e-04  -7.617178599157e+00   1.568972831288e+01   7.990551781941e-02  -6.212656000105e-04
  1.750000000000e-01   2.048695704537e+02  -2.033240106883e+00  -3.335745179074e+00   1.070569270130e+02   1.145629323659e-01  -4.803246386875e-02   3.620229090615e+01  -9.421516849394e-04  -7.679309853193e+00   1.622513715312e+01   7.930280284058e-02  -6.927072011403e-04
  1.800000000000e-01   2.047264639679e+02  -3.481895819353e+00  -1.834299990349e+00   1.070015044265e+02   7.765314769261e-02  -1.038941735125e-01   3.722463041067e+01  -1.052203855784e-03  -7.740597917478e+00   1.676027869290e+01   7.867314484314e-02  -7.694134608704e-04
  1.850000000000e-01   2.045880796787e+02  -3.953433612824e+00   2.123179891127e-01   1.069430289192e+02   1.486022976352e-02  -1.343658624939e-01   3.824631893971e+01  -1.169333948977e-03  -7.801045204188e+00   1.729513467567e+01   7.801656888139e-02  -8.515275079211e-04
  1.900000000000e-01   2.044495049472e+02  -3.300245341664e+00   2.220040641301e+00   1.068822543084e+02  -5.751937547135e-02  -1.283498236779e-01   3.926736769756e+01  -1.293637932390e-03  -7.860652992933e+00   1.782969198346e+01   7.733314555666e-02  -9.391800218577e-04
  1.950000000000e-01   2.043062937141e+02  -1.700214385377e+00   3.610237727585e+00   1.068193263231e+02  -1.190451017854e-01  -8.467986855018e-02   4.028776208659e+01  -1.425179220464e-03  -7.919420545034e+00   1.836393967735e+01   7.662298806440e-02  -1.032490945652e-03
  2.000000000000e-01   2.041592515816e+02   3.927106369899e-01   3.979151549053e+00   1.067541875031e+02  -1.509220860120e-01  -1.321771557704e-02   4.130747744507e+01  -1.563998061324e-03  -7.977346361231e+00   1.889786680944e+01   7.588625535740e-02  -1.131570123942e-03
