  Time[s]              udot                vdot                 wdot                  pdot               qdot                 rdot                 xdot                  ydot                 zdot                   e0dot                exdot               eydot              ezdot
  0.000000000000e+00  -1.776356839400e-14  -2.842170943040e-14   4.966860256417e-14   1.573643467099e-17   9.557855794825e-17   5.649979271185e-18   2.016446294260e+02  -7.924648160431e+01  -3.820259908673e+01   1.026491289414e-02  -1.777935066791e-02   4.839035264632e-02   8.381454937959e-02
  0.000000000000e+00  -1.665090475692e-03   6.184062798233e-04   2.949280548634e-03  -6.286569890926e-07  -4.040419458208e-07   5.180107367471e-07   2.024237140282e+02  -7.724958715884e+01  -3.820353390229e+01   9.850306566665e-03  -1.801872374268e-02   4.830240334229e-02   8.386532693395e-02
  0.000000000000e+00  -1.025293082455e-03  -6.463976470243e-04   2.131998838399e-03  -1.017067431951e-06  -9.411164412684e-07   8.284492985963e-07   2.024137923315e+02  -7.724587029661e+01  -3.820153864313e+01   9.850066186790e-03  -1.801830065234e-02   4.830120591285e-02   8.386328490476e-02
  0.000000000000e+00  -2.694005581922e-03  -3.066260132201e-05   5.017131680995e-03   9.932758669626e-07  -1.526706874385e-06   4.495250786865e-07   2.031730109221e+02  -7.524156953520e+01  -3.820251021267e+01   9.435255597818e-03  -1.825725513176e-02   4.821203497990e-02   8.391202161606e-02

  1.000000000000e-01  -2.691570818369e-03  -3.153134970191e-05   5.000392077198e-03  -6.021059578180e-07  -1.694890742185e-06   1.048625209978e-06   2.031730245694e+02  -7.524153986485e+01  -3.820242914712e+01   9.435229756198e-03  -1.825723380991e-02   4.821204806659e-02   8.391200951589e-02
  1.000000000000e-01  -4.355834072122e-03   5.657018476519e-04   7.770135797673e-03  -5.857992931402e-07  -2.968889928911e-06   1.575394186135e-06   2.039123829794e+02  -7.322984199969e+01  -3.820319531927e+01   9.020159064323e-03  -1.849573676147e-02   4.812168756473e-02   8.395868722063e-02
  1.000000000000e-01  -3.711830557483e-03  -6.952609280368e-04   6.950727619440e-03  -9.987332421858e-07  -3.454772144954e-06   1.866704743923e-06   2.039023873794e+02  -7.322631537189e+01  -3.820120396345e+01   9.019935292613e-03  -1.849529026346e-02   4.812047443569e-02   8.395662940513e-02
  1.000000000000e-01  -5.375870025452e-03  -9.676084256327e-05   9.655294517126e-03   1.621567854201e-06  -4.860661166890e-06   1.482307797207e-06   2.046217392389e+02  -7.120760075444e+01  -3.820201040839e+01   8.604677313665e-03  -1.873335127537e-02   4.802887927995e-02   8.400125163207e-02

  2.000000000000e-01  -5.373316735605e-03  -9.769612592336e-05   9.638178781766e-03   3.007190350759e-08  -5.028365332722e-06   2.079778898439e-06   2.046217522348e+02  -7.120757064993e+01  -3.820192946771e+01   8.604651539993e-03  -1.873332982766e-02   4.802889164811e-02   8.400123910453e-02
  2.000000000000e-01  -7.028704704254e-03   4.860746257336e-04   1.222521522172e-02   6.326412709962e-07  -7.071500318040e-06   2.581912984869e-06   2.053211032468e+02  -6.918184785298e+01  -3.820253439596e+01   8.189150533509e-03  -1.897091526723e-02   4.793609156854e-02   8.404378653839e-02
  2.000000000000e-01  -6.380852673646e-03  -7.710400499867e-04   1.140471601442e-02   1.861883575185e-07  -7.507981828895e-06   2.858898206759e-06   2.053110376259e+02  -6.917851343451e+01  -3.820054659604e+01   8.188944067733e-03  -1.897044617726e-02   4.793486573403e-02   8.404171386269e-02
  2.000000000000e-01  -8.032525241575e-03  -1.822513508110e-04   1.392648472024e-02   3.350852058759e-06  -9.635511040592e-06   2.440482825472e-06   2.059902491778e+02  -6.714616668807e+01  -3.820119494806e+01   7.773273902544e-03  -1.920756719949e-02   4.784082102732e-02   8.408219229982e-02

  3.000000000000e-01  -8.029853749616e-03  -1.831861191803e-04   1.390902525362e-02   1.762575411499e-06  -9.802604568876e-06   3.036273485041e-06   2.059902615062e+02  -6.714613616087e+01  -3.820111413290e+01   7.773248119788e-03  -1.920754548255e-02   4.784083272767e-02   8.408217925710e-02
  3.000000000000e-01  -9.669027418919e-03   3.946554705543e-04   1.631215761218e-02   2.876880317471e-06  -1.251799758911e-05   3.489958246112e-06   2.066493391415e+02  -6.510717339644e+01  -3.820156447767e+01   7.357352922902e-03  -1.944416736367e-02   4.774557094312e-02   8.412056797567e-02
  3.000000000000e-01  -9.017681860266e-03  -8.587795973689e-04   1.549150580861e-02   2.390086760686e-06  -1.290719651736e-05   3.757353687640e-06   2.066392074662e+02  -6.510403308724e+01  -3.819957989835e+01   7.357164635092e-03  -1.944367687551e-02   4.774433520593e-02   8.411848162137e-02
  3.000000000000e-01  -1.064999527143e-02  -2.725087724471e-04   1.783012161606e-02   6.019980415911e-06  -1.566191239659e-05   3.285681204715e-06   2.072780204719e+02  -6.305884225761e+01  -3.820007645602e+01   6.941119659706e-03  -1.967981307000e-02   4.764782163239e-02   8.415478918260e-02

  4.000000000000e-01  -1.064720695518e-02  -2.733835330631e-04   1.781235068208e-02   4.434201640062e-06  -1.582828593725e-05   3.879812049228e-06   2.072780321180e+02  -6.305881132151e+01  -3.819999576570e+01   6.941093809664e-03  -1.967979097046e-02   4.764783272678e-02   8.415477554457e-02
  4.000000000000e-01  -1.226352473277e-02   3.055559385778e-04   2.003216300304e-02   5.974319745007e-06  -1.912359007148e-05   4.270480538156e-06   2.078965858502e+02  -6.100739972132e+01  -3.820029745723e+01   6.524842871721e-03  -1.991540536129e-02   4.755009291063e-02   8.418897959146e-02
  4.000000000000e-01  -1.160903502111e-02  -9.445164236297e-04   1.921220129850e-02   5.442603567558e-06  -1.946788680003e-05   4.532763189550e-06   2.078863921650e+02  -6.100445533778e+01  -3.819831577762e+01   6.524673746866e-03  -1.991489495114e-02   4.754884985452e-02   8.418688096430e-02
  4.000000000000e-01  -1.321568466069e-02  -3.541975068053e-04   2.136899620847e-02   9.449449685268e-06  -2.276006490953e-05   3.997408942031e-06   2.084845639423e+02  -5.894721447196e+01  -3.819866611884e+01   6.108293693713e-03  -2.015000383349e-02   4.744985363487e-02   8.421899325640e-02

  5.000000000000e-01  -1.321278182680e-02  -3.549619652325e-04   2.135094566355e-02   7.865428433794e-06  -2.292563049493e-05   4.589963658245e-06   2.084845748927e+02  -5.894718314275e+01  -3.819858555145e+01   6.108267737820e-03  -2.014998126951e-02   4.744986419285e-02   8.421897895398e-02
  5.000000000000e-01  -1.480028286555e-02   2.313254546173e-04   2.338961318232e-02   9.738503155350e-06  -2.671349007573e-05   4.911613649471e-06   2.090623698599e+02  -5.688411967903e+01  -3.819874380620e+01   5.691701952980e-03  -2.038454692322e-02   4.734963531047e-02   8.424897530581e-02
  5.000000000000e-01  -1.414299010723e-02  -1.015819192066e-03   2.257109054179e-02   9.159488543699e-06  -2.701546495557e-05   5.172842419748e-06   2.090521182803e+02  -5.688137294635e+01  -3.819676472137e+01   5.691553028569e-03  -2.038401825359e-02   4.734838728321e-02   8.424686599585e-02
  5.000000000000e-01  -1.571834034547e-02  -4.157514478145e-04   2.454889628817e-02   1.345019824312e-05  -3.076051067935e-05   4.571387088555e-06   2.096094219085e+02  -5.481288175786e+01  -3.819697372267e+01   5.274880043883e-03  -2.061806016398e-02   4.724689965461e-02   8.427476171832e-02

  6.000000000000e-01  -1.571532610545e-02  -4.163655987171e-04   2.453059732766e-02   1.186720828091e-05  -3.092520107134e-05   5.162501808102e-06   2.096094321512e+02  -5.481285005314e+01  -3.819689327528e+01   5.274853963015e-03  -2.061803708526e-02   4.724690975017e-02   8.427474669611e-02
  6.000000000000e-01  -1.726870929996e-02   1.825352197855e-04   2.639170143731e-02   1.397775215216e-05  -3.512359057442e-05   5.416728738462e-06   2.101462493540e+02  -5.273893719555e+01  -3.819691261868e+01   4.858016664774e-03  -2.085151581079e-02   4.714418551847e-02   8.430051562424e-02
  6.000000000000e-01  -1.660894402192e-02  -1.062202775568e-03   2.557527577859e-02   1.335114827963e-05  -3.538596483746e-05   5.680419957400e-06   2.101359440597e+02  -5.273638974096e+01  -3.819493584081e+01   4.857888973926e-03  -2.085097063795e-02   4.714293462501e-02   8.429839735989e-02
  6.000000000000e-01  -1.814800557983e-02  -4.477251630952e-04   2.737824210650e-02   1.783192267628e-05  -3.950469691978e-05   5.017393839255e-06   2.106521685702e+02  -5.065745326005e+01  -3.819500770263e+01   4.440967556876e-03  -2.108390901960e-02   4.703895130037e-02   8.432205861671e-02

  7.000000000000e-01  -1.814488372898e-02  -4.481598437707e-04   2.735972503235e-02   1.624928093942e-05  -3.966846455634e-05   5.607245494928e-06   2.106521780945e+02  -5.065742119893e+01  -3.819492737142e+01   4.440941350263e-03  -2.108388540612e-02   4.703896100884e-02   8.432204283482e-02
  7.000000000000e-01  -1.965948308674e-02   1.674925115580e-04   2.904807419863e-02   1.850316004471e-05  -4.420091344051e-05   5.802062774806e-06   2.111478145790e+02  -4.857346655725e+01  -3.819481166613e+01   4.023878192013e-03  -2.131624224987e-02   4.693373934710e-02   8.434356817163e-02
  7.000000000000e-01  -1.899756327115e-02  -1.075413764561e-03   2.823431568314e-02   1.783056640742e-05  -4.442649434735e-05   6.071102044521e-06   2.111374598068e+02  -4.857111990416e+01  -3.819283692503e+01   4.023772712435e-03  -2.131568233839e-02   4.693248745189e-02   8.434144277003e-02
  7.000000000000e-01  -2.049596729346e-02  -4.430157117987e-04   2.986773513247e-02   2.241062066871e-05  -4.884531953970e-05   5.356753550752e-06   2.116124103582e+02  -4.648254811458e+01  -3.819277520196e+01   3.606649549000e-03  -2.154748383704e-02   4.682600808025e-02   8.436085528359e-02

  8.000000000000e-01  -2.049274219393e-02  -4.432526523850e-04   2.984902914442e-02   2.082771157270e-05  -4.900813514022e-05   5.945547791250e-06   2.116124191550e+02  -4.648251571749e+01  -3.819269498239e+01   3.606623232419e-03  -2.154745969662e-02   4.682601747556e-02   8.436083871869e-02
  8.000000000000e-01  -2.196449925373e-02   1.920832955520e-04   3.137048695246e-02   2.313567967326e-05  -5.380384796355e-05   6.094067158249e-06   2.120666881804e+02  -4.438933167191e+01  -3.819244746092e+01   3.189381969389e-03  -2.177866295211e-02   4.671829996820e-02   8.437810802142e-02
  8.000000000000e-01  -2.130072871283e-02  -1.049589013110e-03   3.055988180902e-02   2.242033360829e-05  -5.399547900943e-05   6.370657264426e-06   2.120562882168e+02  -4.438718723484e+01  -3.819047450432e+01   3.189299579899e-03  -2.177808999925e-02   4.671704870521e-02   8.437597733757e-02
  8.000000000000e-01  -2.275469819868e-02  -3.969596951201e-04   3.203002210161e-02   2.701512907355e-05  -5.864646777337e-05   5.619616488921e-06   2.124897862549e+02  -4.228979469912e+01  -3.819028213930e+01   2.772023288135e-03  -2.200872440324e-02   4.660807635198e-02   8.439113056037e-02

  9.000000000000e-01  -2.275137466840e-02  -3.969911163395e-04   3.201115511424e-02   2.543142356848e-05  -5.880831866783e-05   6.207575695127e-06   2.124897943163e+02  -4.228976198758e+01  -3.819020202628e+01   2.771996891525e-03  -2.200869976818e-02   4.660808550437e-02   8.439111320591e-02
  9.000000000000e-01  -2.417680860063e-02   2.597360210537e-04   3.337247646815e-02   2.771210671768e-05  -6.380220124181e-05   6.326618225155e-06   2.129025255064e+02  -4.018816530826e+01  -3.818982532713e+01   2.354627082488e-03  -2.223872083617e-02   4.649787689268e-02   8.440411781610e-02
  9.000000000000e-01  -2.351147568145e-02  -9.812941624645e-04   3.256543127050e-02   2.695858949385e-05  -6.396271803730e-05   6.612261377977e-06   2.128920846807e+02  -4.018622438865e+01  -3.818785392062e+01   2.354568528295e-03  -2.223813640835e-02   4.649662768179e-02   8.440198369300e-02
  9.000000000000e-01  -2.491779488383e-02  -3.073147735542e-04   3.387937623598e-02   3.149249139186e-05  -6.878359245631e-05   5.842166282710e-06   2.132839680821e+02  -3.808082986338e+01  -3.818753328223e+01   1.937189334009e-03  -2.246757645307e-02   4.638516834426e-02   8.441287081723e-02

  1.000000000000e+00  -2.491437809225e-02  -3.071425956982e-04   3.386037472316e-02   2.990756052281e-05  -6.894448071105e-05   6.429518167337e-06   2.132839754017e+02  -3.808079685983e+01  -3.818745327024e+01   1.937162898711e-03  -2.246755137616e-02   4.638517731846e-02   8.441285268291e-02
  1.000000000000e+00  -2.629055407168e-02   3.714952426250e-04   3.506905105075e-02   3.208982585118e-05  -7.407708406596e-05   6.538221836279e-06   2.136550148811e+02  -3.597160831736e+01  -3.818694947670e+01   1.519715547656e-03  -2.269636450148e-02   4.627248503507e-02   8.442158768405e-02
  1.000000000000e+00  -2.562393067546e-02  -8.694532829026e-04   3.426589736674e-02   3.130374370145e-05  -7.420927628125e-05   6.833733291207e-06   2.136445375579e+02  -3.596987210021e+01  -3.818497940338e+01   1.519681415051e-03  -2.269576998400e-02   4.627123910314e-02   8.441945190597e-02
  1.000000000000e+00  -2.697991303346e-02  -1.741386634286e-04   3.543139717064e-02   3.571205414570e-05  -7.914332213306e-05   6.063880352389e-06   2.139946607581e+02  -3.385729814306e+01  -3.818453232539e+01   1.102250778235e-03  -2.292399104784e-02   4.615730127291e-02   8.442606977564e-02

  1.100000000000e+00  -2.697640840516e-02  -1.737733998723e-04   3.541228603872e-02   3.412557713284e-05  -7.930326254485e-05   6.650847550756e-06   2.139946673306e+02  -3.385726487065e+01  -3.818445240862e+01   1.102224353998e-03  -2.292396559790e-02   4.615731012679e-02   8.442605088633e-02
  1.100000000000e+00  -2.830090479790e-02   5.261903873546e-04   3.647640018015e-02   3.615025163378e-05  -8.452065704315e-05   6.769330322712e-06   2.143238778440e+02  -3.174130883909e+01  -3.818382308930e+01   6.847515127159e-04  -2.315154751131e-02   4.604214388275e-02   8.443051496658e-02
  1.100000000000e+00  -2.763324569508e-02  -7.151840810060e-04   3.567739950877e-02   3.533790741700e-05  -8.462723659876e-05   7.074879459452e-06   2.143133684170e+02  -3.173977839031e+01  -3.818185414934e+01   6.847422133411e-04  -2.315094407206e-02   4.604090228780e-02   8.442837921708e-02
  1.100000000000e+00  -2.893670081263e-02   4.185236832654e-07   3.670273077370e-02   3.956825420949e-05  -8.962315190271e-05   6.324952985908e-06   2.146216025218e+02  -2.962085096031e+01  -3.818128197167e+01   2.673124258978e-04  -2.337792379220e-02   4.592449656817e-02   8.443072815128e-02

  1.200000000000e+00  -2.893311393949e-02   9.591102383411e-07   3.668353326360e-02   3.798002127902e-05  -8.978216993114e-05   6.911743961595e-06   2.146216083433e+02  -2.962081744274e+01  -3.818120214414e+01   2.672860678339e-04  -2.337789804946e-02   4.592450535191e-02   8.443070854524e-02
  1.200000000000e+00  -3.020398879311e-02   7.206826120942e-04   3.761162454716e-02   3.980095663300e-05  -9.503576203565e-05   7.059872779311e-06   2.149088693590e+02  -2.749892149666e+01  -3.818044839462e+01  -1.501595799658e-04  -2.360422754371e-02   4.580687678241e-02   8.443090377567e-02
  1.200000000000e+00  -2.953553121115e-02  -5.215554911615e-04   3.681697346116e-02   3.896902655544e-05  -9.511933751632e-05   7.375047007033e-06   2.148983322438e+02  -2.749759776115e+01  -3.817848040470e+01  -1.501438155761e-04  -2.360361611089e-02   4.580564043924e-02   8.442876960190e-02
  1.200000000000e+00  -3.078473134270e-02   2.123908310736e-04   3.771080969964e-02   4.298211676396e-05  -1.001310298482e-04   6.663972294875e-06   2.151645651253e+02  -2.537314581365e+01  -3.817778401513e+01  -5.675200409824e-04  -2.382933394745e-02   4.568677922191e-02   8.442685314057e-02

  1.300000000000e+00  -3.078106790527e-02   2.130832296068e-04   3.769154731799e-02   4.139202715553e-05  -1.002891595539e-04   7.250773796960e-06   2.151645701931e+02  -2.537311207503e+01  -3.817770427081e+01  -5.675462753635e-04  -2.382930799894e-02   4.568678797766e-02   8.442683286739e-02
  1.300000000000e+00  -3.199682517615e-02   9.501712663571e-04   3.849248715655e-02   4.297653384240e-05  -1.055354635215e-04   7.447080092299e-06   2.154097779910e+02  -2.324610658192e+01  -3.817682675562e+01  -9.849118289855e-04  -2.405436546757e-02   4.556671034888e-02   8.442276440882e-02
  1.300000000000e+00  -3.132778863494e-02  -2.932859026146e-04   3.770232256952e-02   4.213176196216e-05  -1.055985206152e-04   7.770966501932e-06   2.153992176189e+02  -2.324499038231e+01  -3.817485954829e+01  -9.848709492536e-04  -2.405374672073e-02   4.556548005491e-02   8.442063319299e-02
  1.300000000000e+00  -3.252143508429e-02   4.563231516350e-04   3.847361518066e-02   4.590153433953e-05  -1.105848650964e-04   7.115922046323e-06   2.156233539954e+02  -2.111584545998e+01  -3.817403942436e+01  -1.402140880974e-03  -2.427818349676e-02   4.544417725679e-02   8.441445777940e-02

  1.400000000000e+00  -3.251770078220e-02   4.571396832560e-04   3.845430765848e-02   4.430959006660e-05  -1.107421471425e-04   7.702893265745e-06   2.156233583080e+02  -2.111581152468e+01  -3.817395975722e+01  -1.402166934518e-03  -2.427815743192e-02   4.544418601877e-02   8.441443689747e-02
  1.400000000000e+00  -3.367725667934e-02   1.208540954789e-03   3.913718583394e-02   4.563828745035e-05  -1.159425233644e-04   7.963665213160e-06   2.158264260513e+02  -1.898452923415e+01  -3.817295875171e+01  -1.819399672798e-03  -2.450192439772e-02   4.532167399520e-02   8.440611265116e-02
  1.400000000000e+00  -3.300784304698e-02  -3.640081077450e-05   3.835159031630e-02   4.478720863259e-05  -1.159874109657e-04   8.294944705474e-06   2.158158468635e+02  -1.898362127020e+01  -3.817099217474e+01  -1.819333795347e-03  -2.450129877094e-02   4.532045045500e-02   8.440398558984e-02
  1.400000000000e+00  -3.414503283008e-02   7.256292154274e-04   3.900946023863e-02   4.830044004298e-05  -1.209119801440e-04   7.710558348279e-06   2.159978083640e+02  -1.685061709140e+01  -3.817004842515e+01  -2.236445059088e-03  -2.472443621347e-02   4.519672131327e-02   8.439356020513e-02

  1.500000000000e+00  -3.414123332180e-02   7.265396201532e-04   3.899012551690e-02   4.670673609812e-05  -1.210684599153e-04   8.297826836354e-06   2.159978119208e+02  -1.685058298390e+01  -3.816996882929e+01  -2.236470877440e-03  -2.472441012013e-02   4.519673010818e-02   8.439353877912e-02
  1.500000000000e+00  -3.524388309146e-02   1.488730504590e-03   3.956414716758e-02   4.777288425243e-05  -1.261888307670e-04   8.636398031756e-06   2.161586697129e+02  -1.471585861484e+01  -3.816884426079e+01  -2.653518621915e-03  -2.494686877725e-02   4.507179957672e-02   8.438096899748e-02
  1.500000000000e+00  -3.457427683189e-02   2.421316091770e-04   3.878315423922e-02   4.692158397003e-05  -1.262177522590e-04   8.973446692662e-06   2.161480761547e+02  -1.471515946332e+01  -3.816687817655e+01  -2.653428017428e-03  -2.494623647308e-02   4.507058342446e-02   8.437884708904e-02
  1.500000000000e+00  -3.565446990230e-02   1.012962695885e-03   3.933679420799e-02   5.017702163518e-05  -1.310485281477e-04   8.471190311566e-06   2.162878013680e+02  -1.257913150898e+01  -3.816581058180e+01  -3.070328933800e-03  -2.516805677737e-02   4.494444434508e-02   8.436418285524e-02

  1.600000000000e+00  -3.565061075392e-02   1.013935659955e-03   3.931744844748e-02   4.858173340432e-05  -1.312042540284e-04   9.058849644508e-06   2.162878041694e+02  -1.257909725379e+01  -3.816573105149e+01  -3.070354467465e-03  -2.516803073828e-02   4.494445319294e-02   8.436416095337e-02
  1.600000000000e+00  -3.669599617660e-02   1.783106189659e-03   3.979184163154e-02   4.939012685629e-05  -1.362148070225e-04   9.485093652265e-06   2.164063990953e+02  -1.044176708065e+01  -3.816448253941e+01  -3.487165900206e-03  -2.538916352863e-02   4.481712113805e-02   8.434735782748e-02
  1.600000000000e+00  -3.602636476059e-02   5.347695267837e-04   3.901544096733e-02   4.854404384886e-05  -1.362298161542e-04   9.826086399929e-06   2.163957956109e+02  -1.044127719582e+01  -3.816251682429e+01  -3.487050971271e-03  -2.538852454090e-02   4.481591295684e-02   8.434524186738e-02
  1.600000000000e+00  -3.704935204404e-02   1.310584612753e-03   3.947402818916e-02   5.155114720224e-05  -1.409388935542e-04   9.413873951712e-06   2.164932401201e+02  -8.303062295962e+00  -3.816132487608e+01  -3.903690844202e-03  -2.560900997644e-02   4.468738141004e-02   8.432635163517e-02

