  Time[s]              u[ft/s]             w[ft/s]               q[rad/s]             x[ft]                z[ft]                theta[rad]
  1.400000000000e-01   2.058363718372e+02   3.555733324897e+00  -8.707595061905e-02   2.902523318079e+01  -7.225877531587e+00   8.292789701675e-02
  1.500000000000e-01   2.055370132359e+02   3.681927887453e+00  -9.777709474005e-02   3.107809090127e+01  -7.359241696320e+00   8.200384758603e-02
  1.600000000000e-01   2.052380391992e+02   3.786072813426e+00  -1.086992298668e-01   3.312818990346e+01  -7.489206489520e+00   8.097161836437e-02
  1.700000000000e-01   2.049396911095e+02   3.867886729262e+00  -1.197664009070e-01   3.517552650170e+01  -7.615775674411e+00   7.982937955850e-02
  1.800000000000e-01   2.046422198228e+02   3.927244427239e+00  -1.309033166392e-01   3.722009910848e+01  -7.738953220514e+00   7.857605802623e-02
  1.900000000000e-01   2.043458794244e+02   3.964173753801e+00  -1.420358430531e-01   3.926190839620e+01  -7.858743312283e+00   7.721132815340e-02
  2.000000000000e-01   2.040509211275e+02   3.978851544693e+00  -1.530914740318e-01   4.130095740076e+01  -7.975150350729e+00   7.573559790834e-02
  2.100000000000e-01   2.037575874664e+02   3.971598673243e+00  -1.639997767930e-01   4.333725156636e+01  -8.088178948242e+00   7.414999031373e-02
  2.200000000000e-01   2.034661069198e+02   3.942874281637e+00  -1.746928098581e-01   4.537079873249e+01  -8.197833917009e+00   7.245632059972e-02
  2.300000000000e-01   2.031766890821e+02   3.893269267429e+00  -1.851055116695e-01   4.740160906558e+01  -8.304120251687e+00   7.065706932263e-02
  2.400000000000e-01   2.028895204813e+02   3.823499098782e+00  -1.951760583137e-01   4.942969493895e+01  -8.407043107152e+00   6.875535175092e-02
  2.500000000000e-01   2.026047611220e+02   3.734396032355e+00  -2.048461891388e-01   5.145507076586e+01  -8.506607772298e+00   6.675488383343e-02
  2.600000000000e-01   2.023225418092e+02   3.626900807305e+00  -2.140614993577e-01   5.347775279157e+01  -8.602819640969e+00   6.465994507604e-02
  2.700000000000e-01   2.020429622856e+02   3.502053887838e+00  -2.227716990125e-01   5.549775885092e+01  -8.695684181140e+00   6.247533865989e-02
  2.800000000000e-01   2.017660901953e+02   3.360986325219e+00  -2.309308379354e-01   5.751510809861e+01  -8.785206903503e+00   6.020634913998e-02
  2.900000000000e-01   2.014919608619e+02   3.204910308269e+00  -2.384974965702e-01   5.952982071978e+01  -8.871393330545e+00   5.785869806466e-02
  3.000000000000e-01   2.012205778535e+02   3.035109469327e+00  -2.454349427263e-01   6.154191762852e+01  -8.954248967142e+00   5.543849785751e-02
  3.100000000000e-01   2.009519142844e+02   2.852929010479e+00  -2.517112545221e-01   6.355142016214e+01  -9.033779273565e+00   5.295220430091e-02
  3.200000000000e-01   2.006859147903e+02   2.659765712717e+00  -2.572994099327e-01   6.555834977846e+01  -9.109989641657e+00   5.040656795762e-02
  3.300000000000e-01   2.004224980981e+02   2.457057888554e+00  -2.621773435029e-01   6.756272776349e+01  -9.182885374761e+00   4.780858486159e-02
  3.400000000000e-01   2.001615601015e+02   2.246275336652e+00  -2.663279709157e-01   6.956457495572e+01  -9.252471671802e+00   4.516544680297e-02
  3.500000000000e-01   1.999029773442e+02   2.028909355100e+00  -2.697391822222e-01   7.156391149312e+01  -9.318753615737e+00   4.248449152479e-02
  3.600000000000e-01   1.996466108062e+02   1.806462868168e+00  -2.724038046504e-01   7.356075658772e+01  -9.381736166402e+00   3.977315314039e-02
  3.700000000000e-01   1.993923098875e+02   1.580440719654e+00  -2.743195360151e-01   7.555512833195e+01  -9.441424157610e+00   3.703891307050e-02
  3.800000000000e-01   1.991399164832e+02   1.352340184196e+00  -2.754888498534e-01   7.754704354001e+01  -9.497822298199e+00   3.428925178866e-02
  3.900000000000e-01   1.988892690426e+02   1.123641746156e+00  -2.759188735111e-01   7.953651762630e+01  -9.550935176608e+00   3.153160165158e-02
  4.000000000000e-01   1.986402065165e+02   8.958001938361e-01  -2.756212405099e-01   8.152356452219e+01  -9.600767268428e+00   2.877330107840e-02
  4.100000000000e-01   1.983925720985e+02   6.702360747353e-01  -2.746119186254e-01   8.350819663137e+01  -9.647322946331e+00   2.602155032886e-02
  4.200000000000e-01   1.981462166761e+02   4.483275553107e-01  -2.729110152104e-01   8.549042482284e+01  -9.690606491718e+00   2.328336911595e-02
  4.300000000000e-01   1.979010019222e+02   2.314027261629e-01  -2.705425614011e-01   8.747025845996e+01  -9.730622107421e+00   2.056555627214e-02
  4.400000000000e-01   1.976568029626e+02   2.073239072391e-02  -2.675342769394e-01   8.944770546319e+01  -9.767373930806e+00   1.787465167212e-02
  4.500000000000e-01   1.974135105759e+02  -1.824766276624e-01  -2.639173174454e-01   9.142277240304e+01  -9.800866046687e+00   1.521690059648e-02
  4.600000000000e-01   1.971710328890e+02  -3.770876289048e-01  -2.597260060552e-01   9.339546461968e+01  -9.831102499495e+00   1.259822070258e-02
  4.700000000000e-01   1.969292965500e+02  -5.620396020733e-01  -2.549975514224e-01   9.536578636472e+01  -9.858087304259e+00   1.002417174885e-02
  4.800000000000e-01   1.966882473721e+02  -7.363521907202e-01  -2.497717541451e-01   9.733374096061e+01  -9.881824456053e+00   7.499928198722e-03
  4.900000000000e-01   1.964478504558e+02  -8.991300387150e-01  -2.440907037310e-01   9.929933097265e+01  -9.902317937629e+00   5.030254809374e-03
  5.000000000000e-01   1.962080898088e+02  -1.049566502336e+00  -2.379984682487e-01   1.012625583887e+02  -9.919571725120e+00   2.619485289172e-03
  5.100000000000e-01   1.959689674966e+02  -1.186946719148e+00  -2.315407788298e-01   1.032234248016e+02  -9.933589791763e+00   2.715040861688e-04
  5.200000000000e-01   1.957305023635e+02  -1.310650029041e+00  -2.247647111821e-01   1.051819315894e+02  -9.944376109679e+00  -2.010268651692e-03
  5.300000000000e-01   1.954927283776e+02  -1.420151747669e+00  -2.177183662529e-01   1.071380800890e+02  -9.951934649886e+00  -4.222888925484e-03
  5.400000000000e-01   1.952556926553e+02  -1.515024297262e+00  -2.104505521368e-01   1.090918717590e+02  -9.956269380723e+00  -6.363897545335e-03
  5.500000000000e-01   1.950194532294e+02  -1.594937704406e+00  -2.030104692623e-01   1.110433083277e+02  -9.957384264974e+00  -8.431325624288e-03
  5.600000000000e-01   1.947840766294e+02  -1.659659478746e+00  -1.954474008104e-01   1.129923919238e+02  -9.955283255989e+00  -1.042369694858e-02
  5.700000000000e-01   1.945496353411e+02  -1.709053890638e+00  -1.878104102220e-01   1.149391251862e+02  -9.949970293131e+00  -1.234002728608e-02
  5.800000000000e-01   1.943162052155e+02  -1.743080669530e+00  -1.801480475408e-01   1.168835113521e+02  -9.941449296880e+00  -1.417982071250e-02
  5.900000000000e-01   1.940838628946e+02  -1.761793148209e+00  -1.725080662151e-01   1.188255543206e+02  -9.929724163913e+00  -1.594306305216e-02
  6.000000000000e-01   1.938526833181e+02  -1.765335880985e+00  -1.649371518509e-01   1.207652586926e+02  -9.914798762453e+00  -1.763021254518e-02
  6.100000000000e-01   1.936227373710e+02  -1.753941766469e+00  -1.574806642677e-01   1.227026297863e+02  -9.896676928146e+00  -1.924218786782e-02
  6.200000000000e-01   1.933940897248e+02  -1.727928707676e+00  -1.501823940664e-01   1.246376736281e+02  -9.875362460684e+00  -2.078035364482e-02
  6.300000000000e-01   1.931667969218e+02  -1.687695843947e+00  -1.430843347745e-01   1.265703969217e+02  -9.850859121327e+00  -2.224650360464e-02
  6.400000000000e-01   1.929409057375e+02  -1.633719390480e+00  -1.362264714858e-01   1.285008069960e+02  -9.823170631447e+00  -2.364284153778e-02
  6.500000000000e-01   1.927164518565e+02  -1.566548122244e+00  -1.296465867720e-01   1.304289117338e+02  -9.792300672140e+00  -2.497196022739e-02
  6.600000000000e-01   1.924934588799e+02  -1.486798539728e+00  -1.233800845042e-01   1.323547194843e+02  -9.758252884918e+00  -2.623681852797e-02
  6.700000000000e-01   1.922719376795e+02  -1.395149754267e+00  -1.174598320876e-01   1.342782389625e+02  -9.721030873439e+00  -2.744071677405e-02
  6.800000000000e-01   1.920518861030e+02  -1.292338130873e+00  -1.119160214860e-01   1.361994791379e+02  -9.680638206196e+00  -2.858727070485e-02
  6.900000000000e-01   1.918332890241e+02  -1.179151726329e+00  -1.067760492925e-01   1.381184491160e+02  -9.637078420040e+00  -2.968038409433e-02
  7.000000000000e-01   1.916161187272e+02  -1.056424560048e+00  -1.020644159863e-01   1.400351580157e+02  -9.590355024410e+00  -3.072422027774e-02
  7.100000000000e-01   1.914003356057e+02  -9.250307547484e-01  -9.780264441056e-02   1.419496148471e+02  -9.540471506107e+00  -3.172317276684e-02
  7.200000000000e-01   1.911858891470e+02  -7.858785834455e-01  -9.400921740212e-02   1.438618283906e+02  -9.487431334432e+00  -3.268183514584e-02
  7.300000000000e-01   1.909727191719e+02  -6.399044585831e-01  -9.069953441240e-02   1.457718070826e+02  -9.431237966538e+00  -3.360497043869e-02
  7.400000000000e-01   1.907607572920e+02  -4.880668983729e-01  -8.788588686474e-02   1.476795589092e+02  -9.371894852815e+00  -3.449748013654e-02
  7.500000000000e-01   1.905499285422e+02  -3.313405045780e-01  -8.557745191090e-02   1.495850913107e+02  -9.309405442155e+00  -3.536437307109e-02
  7.600000000000e-01   1.903401531460e+02  -1.707099850507e-01  -8.378030416723e-02   1.514884111000e+02  -9.243773186964e+00  -3.621073431576e-02
  7.700000000000e-01   1.901313483677e+02  -7.164253338522e-03  -8.249744493299e-02   1.533895243946e+02  -9.175001547786e+00  -3.704169429209e-02
  7.800000000000e-01   1.899234304056e+02   1.583093634180e-01  -8.172884831920e-02   1.552884365662e+02  -9.103093997442e+00  -3.786239825343e-02
  7.900000000000e-01   1.897163162806e+02   3.247307782540e-01  -8.147152364387e-02   1.571851522066e+02  -9.028054024605e+00  -3.867797631169e-02
  8.000000000000e-01   1.895099256780e+02   4.911326310630e-01  -8.171959338051e-02   1.590796751123e+02  -8.949885136735e+00  -3.949351416661e-02
  8.100000000000e-01   1.893041826991e+02   6.565655808469e-01  -8.246438588009e-02   1.609720082859e+02  -8.868590862352e+00  -4.031402468888e-02
  8.200000000000e-01   1.890990174874e+02   8.201033777111e-01  -8.369454202305e-02   1.628621539561e+02  -8.784174752601e+00  -4.114442050099e-02
  8.300000000000e-01   1.888943676942e+02   9.808476904439e-01  -8.539613489742e-02   1.647501136142e+02  -8.696640382115e+00  -4.198948769042e-02
  8.400000000000e-01   1.886901797547e+02   1.137932667307e+00  -8.755280154304e-02   1.666358880666e+02  -8.605991349181e+00  -4.285386078083e-02
  8.500000000000e-01   1.884864099525e+02   1.290529209591e+00  -9.014588574959e-02   1.685194775010e+02  -8.512231275214e+00  -4.374199907679e-02
  8.600000000000e-01   1.882830252527e+02   1.437848939537e+00  -9.315459084973e-02   1.704008815669e+02  -8.415363803581e+00  -4.465816448736e-02
  8.700000000000e-01   1.880800038921e+02   1.579147846406e+00  -9.655614140807e-02   1.722800994651e+02  -8.315392597796e+00  -4.560640092302e-02
  8.800000000000e-01   1.878773357202e+02   1.713729596727e+00  -1.003259526725e-01   1.741571300471e+02  -8.212321339127e+00  -4.659051534927e-02
  8.900000000000e-01   1.876750222895e+02   1.840948497158e+00  -1.044378066283e-01   1.760319719206e+02  -8.106153723672e+00  -4.761406056873e-02
  9.000000000000e-01   1.874730767009e+02   1.960212100768e+00  -1.088640334772e-01   1.779046235592e+02  -7.996893458929e+00  -4.868031979186e-02
  9.100000000000e-01   1.872715232130e+02   2.070983450062e+00  -1.135756973530e-01   1.797750834132e+02  -7.884544259931e+00  -4.979229304466e-02
  9.200000000000e-01   1.870703966315e+02   2.172782952515e+00  -1.185427850849e-01   1.816433500207e+02  -7.769109844994e+00  -5.095268544982e-02
  9.300000000000e-01   1.868697414972e+02   2.265189886849e+00  -1.237343968282e-01   1.835094221151e+02  -7.650593931130e+00  -5.216389740569e-02
  9.400000000000e-01   1.866696110953e+02   2.347843540740e+00  -1.291189373971e-01   1.853732987281e+02  -7.529000229203e+00  -5.342801667612e-02
  9.500000000000e-01   1.864700663127e+02   2.420443982924e+00  -1.346643071620e-01   1.872349792851e+02  -7.404332438884e+00  -5.474681239241e-02
  9.600000000000e-01   1.862711743713e+02   2.482752474991e+00  -1.403380914064e-01   1.890944636926e+02  -7.276594243476e+00  -5.612173095729e-02
  9.700000000000e-01   1.860730074669e+02   2.534591530237e+00  -1.461077470805e-01   1.909517524141e+02  -7.145789304702e+00  -5.755389383051e-02
  9.800000000000e-01   1.858756413465e+02   2.575844628952e+00  -1.519407859378e-01   1.928068465359e+02  -7.011921257527e+00  -5.904409716456e-02
  9.900000000000e-01   1.856791538525e+02   2.606455601334e+00  -1.578049530941e-01   1.946597478191e+02  -6.874993705098e+00  -6.059281324971e-02
  1.000000000000e+00   1.854836234679e+02   2.626427690911e+00  -1.636684001127e-01   1.965104587387e+02  -6.735010213914e+00  -6.220019371795e-02
  1.010000000000e+00   1.852891278889e+02   2.635822312774e+00  -1.694998517778e-01   1.983589825091e+02  -6.591974309298e+00  -6.386607444695e-02
  1.020000000000e+00   1.850957426565e+02   2.634757522281e+00  -1.752687657926e-01   2.002053230955e+02  -6.445889471274e+00  -6.558998209692e-02
  1.030000000000e+00   1.849035398697e+02   2.623406210946e+00  -1.809454847040e-01   2.020494852120e+02  -6.296759130952e+00  -6.737114220621e-02
  1.040000000000e+00   1.847125870054e+02   2.601994047199e+00  -1.865013794289e-01   2.038914743060e+02  -6.144586667489e+00  -6.920848876457e-02
  1.050000000000e+00   1.845229458652e+02   2.570797180425e+00  -1.919089838300e-01   2.057312965303e+02  -5.989375405734e+00  -7.110067517741e-02
  1.060000000000e+00   1.843346716646e+02   2.530139727308e+00  -1.971421198581e-01   2.075689587035e+02  -5.831128614600e+00  -7.304608652902e-02
  1.070000000000e+00   1.841478122789e+02   2.480391059926e+00  -2.021760128512e-01   2.094044682602e+02  -5.669849506255e+00  -7.504285304827e-02
  1.080000000000e+00   1.839624076541e+02   2.421962915362e+00  -2.069873966475e-01   2.112378331911e+02  -5.505541236146e+00  -7.708886467670e-02
  1.090000000000e+00   1.837784893906e+02   2.355306346753e+00  -2.115546082363e-01   2.130690619766e+02  -5.338206903910e+00  -7.918178663552e-02
  1.100000000000e+00   1.835960804982e+02   2.280908535800e+00  -2.158576717360e-01   2.148981635132e+02  -5.167849555159e+00  -8.131907588604e-02
