  Time[s]              u[ft/s]            v[ft/s]                w[ft/s]              p[rad/s]             q[rad/s]             r[rad/s]             x[ft]                y[ft]                z[ft]                e0                   ex                   ey                   ez                  gamma[deg]
  1.000000000000e+00   2.199136051229e+02  -1.989287475990e-07   1.278482456627e-02   1.030099550478e-09   4.412663109783e-06   3.480923807320e-09   2.064582459593e-03  -2.628889182079e-09  -7.199711654353e+02   2.678115437191e-10   7.071335581838e-01  -4.186894925998e-10  -7.070800031752e-01   8.999890846150e+01
  1.100000000000e+00   2.198955152132e+02  -2.773030962138e-07   1.257011532571e-02   1.498682941970e-09   5.125504295036e-06   4.370462810972e-09   2.467657678762e-03  -4.454150480773e-09  -7.419616357270e+02   3.620317195416e-10   7.071337267366e-01  -6.015499835842e-10  -7.070798346096e-01   8.999882722854e+01
  1.200000000000e+00   2.198757175741e+02  -3.733248447588e-07   1.237792201684e-02   2.110171444959e-09   5.852916472991e-06   5.338878197909e-09   2.902198605469e-03  -7.191546105090e-09  -7.639502116175e+02   4.701096986982e-10   7.071339207690e-01  -8.363244723129e-10  -7.070796405624e-01   8.999874741134e+01
  1.300000000000e+00   2.198542148465e+02  -4.879815380419e-07   1.220719295652e-02   2.886894947952e-09   6.588339428107e-06   6.370646691572e-09   3.367588551900e-03  -1.114810116126e-08  -7.859367224660e+02   5.891167810504e-10   7.071341406782e-01  -1.130982402937e-09  -7.070794206363e-01   8.999866868789e+01
  1.400000000000e+00   2.198310096718e+02  -6.218693968401e-07   1.205679964705e-02   3.850194473925e-09   7.325856744908e-06   7.448387708755e-09   3.863336994176e-03  -1.668945317066e-08  -8.079209978959e+02   7.147666544947e-10   7.071343866410e-01  -1.493684104781e-09  -7.070791746544e-01   8.999859075278e+01
  1.500000000000e+00   2.198061046909e+02  -7.751703076109e-07   1.192555467017e-02   5.019666778204e-09   8.060177982359e-06   8.553431793156e-09   4.389073257281e-03  -2.424198351488e-08  -8.299028677944e+02   8.414082097283e-10   7.071346586360e-01  -1.932676738325e-09  -7.070789026380e-01   8.999851331774e+01
  1.600000000000e+00   2.197795025445e+02  -9.476418359070e-07   1.181222816953e-02   6.412461480446e-09   8.786617330285e-06   9.666383738289e-09   4.944539862847e-03  -3.429377294131e-08  -8.518821623133e+02   9.620642464497e-10   7.071349564657e-01  -2.456184431824e-09  -7.070786047847e-01   8.999843611365e+01
  1.700000000000e+00   2.197512058725e+02  -1.138619652275e-06   1.171556293026e-02   8.042653023472e-09   9.501069316634e-06   1.076766836675e-08   5.529585634251e-03  -4.739434918803e-08  -8.738587118679e+02   1.068513402986e-09   7.071352797771e-01  -3.072294469635e-09  -7.070782814474e-01   8.999835888959e+01
  1.800000000000e+00   2.197212173145e+02  -1.347031523480e-06   1.163428807574e-02   9.920705314124e-09   1.019998209826e-05   1.183804803923e-08   6.144158645458e-03  -6.415322935215e-08  -8.958323471377e+02   1.151411525302e-09   7.071356280820e-01  -3.788841696495e-09  -7.070779331142e-01   8.999828141218e+01
  1.900000000000e+00   2.196895395088e+02  -1.571421818755e-06   1.156713141156e-02   1.205304253009e-08   1.088032883116e-05   1.285910223456e-08   6.788299091941e-03  -8.523729196423e-08  -9.178028990661e+02   1.200447773296e-09   7.071360007760e-01  -4.613293491376e-09  -7.070775603896e-01   8.999820346751e+01
  2.000000000000e+00   2.196561750936e+02  -1.809985312694e-06   1.151283045538e-02   1.444173533924e-08   1.153957757877e-05   1.381366093618e-08   7.462132154275e-03  -1.113670432659e-07  -9.397701988603e+02   1.204530043801e-09   7.071363971565e-01  -5.552637748679e-09  -7.070771639761e-01   8.999812485921e+01
  2.100000000000e+00   2.196211267061e+02  -2.060608934811e-06   1.147014219850e-02   1.708430773761e-08   1.217566017991e-05   1.468618504313e-08   8.165860917365e-03  -1.433118684356e-07  -9.617340779911e+02   1.151993768660e-09   7.071368164397e-01  -6.613276293140e-09  -7.070767446575e-01   8.999804540947e+01
